Cost	T1	T2	S	PR	NE	CT	N
460.05	14	46	687	0	1	0	14
452.99	10	73	1065	0	0	1	1
443.22	10	85	1065	1	0	1	1
652.32	11	67	1065	0	1	1	12
642.23	11	78	1065	1	1	1	12
345.39	13	51	514	0	1	1	3
272.37	12	50	822	0	0	0	5
317.21	14	59	457	0	0	0	1
457.12	15	55	822	1	0	0	5
690.19	12	71	792	0	1	1	2
350.63	12	64	560	0	0	0	3
402.59	13	47	790	0	1	0	6
412.18	15	62	530	0	0	1	2
495.58	17	52	1050	0	0	0	7
394.36	13	65	850	0	0	0	16
423.32	11	67	778	0	0	0	3
712.27	18	60	845	0	1	0	17
289.66	15	76	530	1	0	1	2
881.24	15	67	1090	0	0	0	1
490.88	16	59	1090	1	0	0	8
567.79	11	70	913	0	0	1	15
665.99	22	57	828	1	1	0	20
621.45	16	59	786	0	0	1	18
608.80	19	58	821	1	0	0	3
473.64	19	44	538	0	0	1	19
697.14	20	57	1130	0	0	1	21
207.51	13	63	745	0	0	0	8
288.48	  9	48	821	0	0	1	7
284.88	12	63	886	0	0	0	11
280.36	12	71	886	1	0	0	11
217.38	13	72	745	1	0	0	8
270.71	  7	80	886	1	0	0	11
