Gender,Dosage,Light,LH
Male,0,Normal Light,212
Male,0,Normal Light,27
Male,0,Normal Light,68
Male,0,Normal Light,72
Male,0,Normal Light,130
Male,0,Normal Light,153
Male,10,Normal Light,32
Male,10,Normal Light,98
Male,10,Normal Light,148
Male,10,Normal Light,186
Male,10,Normal Light,203
Male,10,Normal Light,188
Male,50,Normal Light,294
Male,50,Normal Light,306
Male,50,Normal Light,234
Male,50,Normal Light,219
Male,50,Normal Light,281
Male,50,Normal Light,288
Male,250,Normal Light,515
Male,250,Normal Light,340
Male,250,Normal Light,348
Male,250,Normal Light,205
Male,250,Normal Light,505
Male,250,Normal Light,432
Male,1250,Normal Light,296
Male,1250,Normal Light,545
Male,1250,Normal Light,630
Male,1250,Normal Light,418
Male,1250,Normal Light,396
Male,1250,Normal Light,227
Male,0,Constant Light,72
Male,0,Constant Light,64
Male,0,Constant Light,78
Male,0,Constant Light,20
Male,0,Constant Light,56
Male,0,Constant Light,70
Male,10,Constant Light,74
Male,10,Constant Light,82
Male,10,Constant Light,40
Male,10,Constant Light,87
Male,10,Constant Light,78
Male,10,Constant Light,88
Male,50,Constant Light,130
Male,50,Constant Light,187
Male,50,Constant Light,133
Male,50,Constant Light,185
Male,50,Constant Light,107
Male,50,Constant Light,98
Male,250,Constant Light,159
Male,250,Constant Light,167
Male,250,Constant Light,193
Male,250,Constant Light,196
Male,250,Constant Light,174
Male,250,Constant Light,250
Male,1250,Constant Light,137
Male,1250,Constant Light,426
Male,1250,Constant Light,178
Male,1250,Constant Light,208
Male,1250,Constant Light,196
Male,1250,Constant Light,251
Female,0,Normal Light,71
Female,0,Normal Light,159
Female,0,Normal Light,208
Female,0,Normal Light,161
Female,0,Normal Light,187
Female,0,Normal Light,51
Female,10,Normal Light,755
Female,10,Normal Light,81
Female,10,Normal Light,372
Female,10,Normal Light,356
Female,10,Normal Light,613
Female,10,Normal Light,1313
Female,50,Normal Light,1451
Female,50,Normal Light,222
Female,50,Normal Light,821
Female,50,Normal Light,120
Female,50,Normal Light,839
Female,50,Normal Light,249
Female,250,Normal Light,2265
Female,250,Normal Light,1089
Female,250,Normal Light,994
Female,250,Normal Light,287
Female,250,Normal Light,1638
Female,250,Normal Light,329
Female,1250,Normal Light,2693
Female,1250,Normal Light,1719
Female,1250,Normal Light,2758
Female,1250,Normal Light,2040
Female,1250,Normal Light,3199
Female,1250,Normal Light,561
Female,0,Constant Light,197
Female,0,Constant Light,115
Female,0,Constant Light,28
Female,0,Constant Light,48
Female,0,Constant Light,229
Female,0,Constant Light,424
Female,10,Constant Light,468
Female,10,Constant Light,456
Female,10,Constant Light,300
Female,10,Constant Light,605
Female,10,Constant Light,405
Female,10,Constant Light,405
Female,50,Constant Light,565
Female,50,Constant Light,445
Female,50,Constant Light,708
Female,50,Constant Light,1710
Female,50,Constant Light,271
Female,50,Constant Light,759
Female,250,Constant Light,1825
Female,250,Constant Light,1335
Female,250,Constant Light,2826
Female,250,Constant Light,1255
Female,250,Constant Light,1200
Female,250,Constant Light,1452
Female,1250,Constant Light,1482
Female,1250,Constant Light,1646
Female,1250,Constant Light,1646
Female,1250,Constant Light,1289
Female,1250,Constant Light,1982
Female,1250,Constant Light,1780
